,Date,Hour,LMP,Dispatch,LMP DA,Dispatch DA
0,2020-01-01,0,0.0,398.0,0.0,400.0
1,2020-01-01,1,0.0,398.0,0.0,400.0
2,2020-01-01,2,0.0,398.0,0.0,400.0
3,2020-01-01,3,0.0,398.0,0.0,400.0
4,2020-01-01,4,0.0,398.0,0.0,400.0
5,2020-01-01,5,0.0,398.0,18.861019,400.0
6,2020-01-01,6,17.392886,400.0,71.116714,400.0
7,2020-01-01,7,20.234035,400.0,0.0,400.0
8,2020-01-01,8,0.0,400.0,0.0,400.0
9,2020-01-01,9,0.0,400.0,0.0,400.0
10,2020-01-01,10,0.0,400.0,0.0,400.0
11,2020-01-01,11,0.0,400.0,18.708217,400.0
12,2020-01-01,12,18.861019,400.0,18.861019,400.0
13,2020-01-01,13,19.034775,400.0,19.685338,400.0
14,2020-01-01,14,0.0,398.0,19.430296,400.0
15,2020-01-01,15,0.0,400.0,21.287879,400.0
16,2020-01-01,16,19.430296,400.0,29.202936,400.0
17,2020-01-01,17,20.493165,400.0,72.509479,400.0
18,2020-01-01,18,23.069973,400.0,70.94615,400.0
19,2020-01-01,19,22.732362,400.0,23.604566,400.0
20,2020-01-01,20,21.474047,400.0,21.647258,400.0
21,2020-01-01,21,20.419098,400.0,19.68943,400.0
22,2020-01-01,22,22.492854,400.0,19.430296,400.0
23,2020-01-01,23,21.474047,400.0,19.68943,400.0
24,2020-01-02,0,21.287879,400.0,19.034775,400.0
25,2020-01-02,1,72.185841,400.0,-0.0,400.0
26,2020-01-02,2,72.492854,400.0,-0.0,400.0
27,2020-01-02,3,72.96816,400.0,18.861019,400.0
28,2020-01-02,4,71.843654,400.0,19.034775,400.0
29,2020-01-02,5,20.419098,400.0,20.400003,400.0
30,2020-01-02,6,21.287879,400.0,66.467768,400.0
31,2020-01-02,7,73.069973,400.0,-0.0,400.0
32,2020-01-02,8,0.0,398.0,-0.0,400.0
33,2020-01-02,9,0.0,400.0,-0.0,400.0
34,2020-01-02,10,0.0,398.0,-0.0,400.0
35,2020-01-02,11,0.0,398.0,-0.0,400.0
36,2020-01-02,12,0.0,398.0,-0.0,400.0
37,2020-01-02,13,0.0,398.0,-0.0,400.0
38,2020-01-02,14,0.0,400.0,-0.0,400.0
39,2020-01-02,15,0.0,400.0,-0.0,400.0
40,2020-01-02,16,0.0,400.0,20.419098,400.0
41,2020-01-02,17,21.368347,400.0,72.96816,400.0
42,2020-01-02,18,22.23556,400.0,72.732362,400.0
43,2020-01-02,19,21.122752,400.0,43.600705,400.0
44,2020-01-02,20,20.526636,400.0,24.776655,400.0
45,2020-01-02,21,20.234035,400.0,21.287879,400.0
46,2020-01-02,22,0.0,400.0,-0.0,400.0
47,2020-01-02,23,14.544199,400.0,-0.0,400.0
48,2020-01-03,0,0.0,398.0,0.0,400.0
49,2020-01-03,1,0.0,400.0,0.0,400.0
50,2020-01-03,2,0.0,400.0,0.0,400.0
51,2020-01-03,3,0.0,398.0,0.0,400.0
52,2020-01-03,4,19.68943,400.0,0.0,400.0
53,2020-01-03,5,18.52187,400.0,19.899927,400.0
54,2020-01-03,6,46.219155,400.0,71.812359,400.0
55,2020-01-03,7,21.122752,400.0,0.0,400.0
56,2020-01-03,8,0.0,400.0,0.0,400.0
57,2020-01-03,9,0.0,400.0,0.0,400.0
58,2020-01-03,10,0.0,400.0,0.0,400.0
59,2020-01-03,11,0.0,400.0,0.0,400.0
60,2020-01-03,12,0.0,400.0,0.0,400.0
61,2020-01-03,13,0.0,400.0,0.0,400.0
62,2020-01-03,14,0.0,398.0,0.0,400.0
63,2020-01-03,15,0.0,398.0,10.431542,400.0
64,2020-01-03,16,0.0,398.0,26.555425,400.0
65,2020-01-03,17,0.0,398.0,77.755129,400.0
66,2020-01-03,18,18.861019,400.0,76.755559,400.0
67,2020-01-03,19,19.68943,400.0,33.062235,400.0
68,2020-01-03,20,22.576747,400.0,21.288154,400.0
69,2020-01-03,21,23.069973,400.0,19.034775,400.0
70,2020-01-03,22,23.128644,400.0,0.0,400.0
71,2020-01-03,23,22.576747,400.0,19.034775,400.0
72,2020-01-04,0,23.128644,400.0,22.576747,400.0
73,2020-01-04,1,23.128644,400.0,23.069973,400.0
74,2020-01-04,2,23.069973,400.0,23.128644,400.0
75,2020-01-04,3,23.069973,400.0,23.069973,400.0
76,2020-01-04,4,22.96816,400.0,23.069973,400.0
77,2020-01-04,5,23.128644,400.0,23.128644,400.0
78,2020-01-04,6,24.617414,400.0,47.15715,400.0
79,2020-01-04,7,76.324557,400.0,20.846138,400.0
80,2020-01-04,8,22.492854,400.0,19.034775,400.0
81,2020-01-04,9,19.034775,400.0,0.0,400.0
82,2020-01-04,10,0.0,400.0,0.0,400.0
83,2020-01-04,11,0.0,398.0,0.0,400.0
84,2020-01-04,12,0.0,398.0,0.0,400.0
85,2020-01-04,13,0.0,398.0,0.0,400.0
86,2020-01-04,14,0.0,398.0,0.0,400.0
87,2020-01-04,15,0.0,398.0,0.0,400.0
88,2020-01-04,16,0.0,398.0,73.657594,400.0
89,2020-01-04,17,19.533879,400.0,75.9087,400.0
90,2020-01-04,18,22.972766,400.0,29.365885,400.0
91,2020-01-04,19,76.141538,400.0,21.122752,400.0
92,2020-01-04,20,20.42044,400.0,25.120176,400.0
93,2020-01-04,21,20.234035,400.0,19.958349,400.0
94,2020-01-04,22,60.524216,400.0,10.100965,400.0
95,2020-01-04,23,21.122752,400.0,10.594833,400.0
96,2020-01-05,0,74.762577,400.0,19.958349,400.0
97,2020-01-05,1,74.060266,400.0,-0.0,400.0
98,2020-01-05,2,20.42044,400.0,-0.0,400.0
99,2020-01-05,3,20.234035,400.0,-0.0,400.0
100,2020-01-05,4,0.0,400.0,-0.0,400.0
101,2020-01-05,5,0.0,400.0,19.958349,400.0
102,2020-01-05,6,0.0,400.0,47.439385,400.0
103,2020-01-05,7,0.0,398.0,-0.0,400.0
104,2020-01-05,8,-0.0,398.0,-0.0,400.0
105,2020-01-05,9,-0.0,400.0,-0.0,400.0
106,2020-01-05,10,0.0,400.0,-0.0,400.0
107,2020-01-05,11,0.0,400.0,-0.0,400.0
108,2020-01-05,12,-0.0,400.0,-0.0,400.0
109,2020-01-05,13,0.0,400.0,-0.0,400.0
110,2020-01-05,14,0.0,398.0,-0.0,400.0
111,2020-01-05,15,0.0,398.0,-0.0,400.0
112,2020-01-05,16,-0.0,398.0,20.901105,400.0
113,2020-01-05,17,0.0,398.0,74.748825,400.0
114,2020-01-05,18,0.0,398.0,76.324557,400.0
115,2020-01-05,19,0.0,398.0,39.331455,400.0
116,2020-01-05,20,0.0,398.0,22.732362,400.0
117,2020-01-05,21,0.0,398.0,21.287879,400.0
118,2020-01-05,22,0.0,400.0,15.613209,400.0
119,2020-01-05,23,0.0,400.0,-0.0,400.0
120,2020-01-06,0,21.122752,400.0,-0.0,400.0
121,2020-01-06,1,20.234035,400.0,-0.0,400.0
122,2020-01-06,2,0.0,400.0,-0.0,400.0
123,2020-01-06,3,20.234035,400.0,-0.0,400.0
124,2020-01-06,4,20.526636,400.0,-0.0,400.0
125,2020-01-06,5,74.762577,400.0,43.598544,400.0
126,2020-01-06,6,75.545362,400.0,74.762577,400.0
127,2020-01-06,7,73.5944,400.0,-0.0,400.0
128,2020-01-06,8,-0.0,398.0,-0.0,400.0
129,2020-01-06,9,-0.0,398.0,-0.0,400.0
130,2020-01-06,10,-0.0,398.0,-0.0,400.0
131,2020-01-06,11,0.0,398.0,-0.0,400.0
132,2020-01-06,12,0.0,398.0,-0.0,400.0
133,2020-01-06,13,0.0,398.0,-0.0,400.0
134,2020-01-06,14,0.0,398.0,-0.0,400.0
135,2020-01-06,15,0.0,398.0,-0.0,400.0
136,2020-01-06,16,0.0,398.0,20.42044,400.0
137,2020-01-06,17,74.762577,400.0,68.724988,400.0
138,2020-01-06,18,72.905772,400.0,72.638639,400.0
139,2020-01-06,19,71.474047,400.0,45.40665,400.0
140,2020-01-06,20,21.122752,400.0,23.894237,400.0
141,2020-01-06,21,18.926085,400.0,20.234035,400.0
142,2020-01-06,22,19.958349,400.0,-0.0,400.0
143,2020-01-06,23,0.0,400.0,-0.0,400.0
144,2020-01-07,0,0.0,400.0,-0.0,400.0
145,2020-01-07,1,0.0,400.0,-0.0,400.0
146,2020-01-07,2,0.0,400.0,-0.0,400.0
147,2020-01-07,3,0.0,400.0,-0.0,400.0
148,2020-01-07,4,0.0,400.0,-0.0,400.0
149,2020-01-07,5,0.0,400.0,49.262134,400.0
150,2020-01-07,6,20.42044,400.0,74.060266,400.0
151,2020-01-07,7,74.060266,400.0,-0.0,400.0
152,2020-01-07,8,-0.0,400.0,-0.0,400.0
153,2020-01-07,9,0.0,400.0,-0.0,400.0
154,2020-01-07,10,0.0,400.0,-0.0,400.0
155,2020-01-07,11,0.0,400.0,-0.0,400.0
156,2020-01-07,12,-0.0,400.0,-0.0,400.0
157,2020-01-07,13,-0.0,400.0,-0.0,400.0
158,2020-01-07,14,0.0,400.0,-0.0,400.0
159,2020-01-07,15,0.0,400.0,-0.0,400.0
160,2020-01-07,16,0.0,398.0,20.540388,400.0
161,2020-01-07,17,21.905537,400.0,47.897379,400.0
162,2020-01-07,18,74.332639,400.0,66.432401,400.0
163,2020-01-07,19,74.060266,400.0,68.373199,400.0
164,2020-01-07,20,78.389212,400.0,25.953799,400.0
165,2020-01-07,21,20.234035,400.0,23.826284,400.0
166,2020-01-07,22,19.533879,400.0,-0.0,400.0
167,2020-01-07,23,0.0,398.0,-0.0,400.0
168,2020-01-08,0,0.0,398.0,20.234035,400.0
169,2020-01-08,1,0.0,398.0,-0.0,400.0
170,2020-01-08,2,0.0,398.0,-0.0,400.0
171,2020-01-08,3,0.0,400.0,20.234035,400.0
172,2020-01-08,4,0.0,400.0,26.905326,400.0
173,2020-01-08,5,0.0,400.0,75.545362,400.0
174,2020-01-08,6,0.0,398.0,85.292165,400.0
